"ID","articulo","marca","especificaciones","precio","pag_url"
148,"guayos","NIKE","Guayos Nike Vapor 15 Club Fg/Mg Blanco/Rojo 9.5 Blanco",294990,"https://www.exito.com/guayos-nike-vapor-15-club-fgmg-blancorojo-104284896-mp/p?color=Blanco"
149,"guayos","NIKE","Guayos Nike Zoom Vapor 15 Academy Beige 10.5 Beige",534990,"https://www.exito.com/guayos-nike-zoom-vapor-15-academy-beige-104284885-mp/p?color=Beige"
150,"guayos","NIKE","Guayos Nike Mercurial Vapor 15 Academy Blanco 9 Blanco",504990,"https://www.exito.com/guayos-nike-mercurial-vapor-15-academy-blanco-104284877-mp/p?color=Blanco"
151,"guayos","GOLTY","Zapatillas Golty Lisa Pro Dimension Azul 10.5 Azul",159990,"https://www.exito.com/zapatillas-golty-lisa-pro-dimension-azul-104284868-mp/p?color=Azul"
152,"guayos","RUNIC","Guayos Runic Denim Turf Adulto Negro 10 Negro",179990,"https://www.exito.com/guayos-runic-denim-turf-adulto-negro-104284781-mp/p?color=Negro"
153,"guayos","RUNIC","Guayos Runic Denim Turf Adulto Gris Claro 10.5 Gris",179990,"https://www.exito.com/guayos-runic-denim-turf-adulto-gris-claro-104284768-mp/p?color=Gris"
154,"guayos","NIKE","Zapatillas Nike Turf Phantom Gx Club Negro 8.5 Negro",299990,"https://www.exito.com/zapatillas-nike-turf-phantom-gx-club-negro-104284741-mp/p?color=Negro"
155,"guayos","RUNIC","Guayos Runic Dalet Turf Para Hombre Negro/Verde 10.5 Negro",79990,"https://www.exito.com/guayos-runic-dalet-turf-para-hombre-negroverde-104284671-mp/p?color=Negro"
156,"guayos","NIKE","Guayos Nike Legend 9 Academy Verde Claro 11 Verde",404990,"https://www.exito.com/guayos-nike-legend-9-academy-verde-claro-104284645-mp/p?color=Verde"
157,"guayos","GOLTY","Guayos Golty Profesional Crackc Suela Caucho Negro 8.5 Negro",99990,"https://www.exito.com/guayos-golty-profesional-crackc-suela-caucho-negro-104284568-mp/p?color=Negro"
158,"guayos","GOLTY","Guayos Golty Profesional Crackc Suela Caucho Azul 8 Azul",149990,"https://www.exito.com/guayos-golty-profesional-crackc-suela-caucho-azul-104284561-mp/p?color=Azul"
159,"guayos","GOLTY","Guayo Golty Tpu Pro Bio Flex Negro 10.5 Negro",159990,"https://www.exito.com/guayo-golty-tpu-pro-bio-flex-negro-104284473-mp/p?color=Negro"
160,"guayos","GOLTY","Zapatilla Golty Turf Pro Fx Gris/Blanco 10 Gris",139990,"https://www.exito.com/zapatilla-golty-turf-pro-fx-grisblanco-104282768-mp/p?color=Gris"
161,"guayos","GOLTY","Guayo Golty Caucho Pro New Future Negro/Amarillo 8.5 Negro",169990,"https://www.exito.com/guayo-golty-caucho-pro-new-future-negroamarillo-104282677-mp/p?color=Negro"
162,"guayos","GOLTY","Guayo Golty Caucho Pro New Future Rojo/Azul 10 Rojo",169990,"https://www.exito.com/guayo-golty-caucho-pro-new-future-rojoazul-104282668-mp/p?color=Rojo"
163,"guayos","GOLTY","Guayo Golty Caucho Pro New Future Azul/Naranja 10 Azul",169990,"https://www.exito.com/guayo-golty-caucho-pro-new-future-azulnaranja-104282659-mp/p?color=Azul"
